ID;Age;Gender;Eyesight;NrFalseInputs_generalQuestions;StudyBefore;Job;CourseOfStudy;Semester;Algorithms;NrFalseInputs_studentQuestions;YearsProgramming;ProgrammingLately;ProgrammingLanguages;RecentProgrammingLanguages;PythonProgramming;OverallExperience;Classmates;NrFalseInputs_progQuestions;ActualScreenWidth;ActualScreenHeight;EyeXScreenWidth;EyeXScreenHeight;SubjectID
23993;22;Male;Yes, but with glasses/contact lenses I have 100%;0;No;Undergraduate Student (Bachelor Studies);Eingebettete Systeme;9;Yes;0;5;Rarely;C, Java, VHDL, MIPS, Kotlin;Kotlin;Inexperienced;Average;Inexperienced;0;2560;1440;2560;1440;3bb48a47-3cb1-4114-b78f-26ccb7e911ec
24280;21;Female;Yes, but with glasses/contact lenses I have 100%;0;No;Undergraduate Student (Bachelor Studies);materialise science;7;No;0;3;Weekly;MatLab;MatLab;Very Inexperienced;Inexperienced;Very Inexperienced;0;2560;1440;2560;1440;e6cf9408-b983-462a-8e8d-fa778458691d
24341;19;Male;No;0;No;Undergraduate Student (Bachelor Studies);Informatik;1;No;0;12;Weekly;python, java, php, javascript, typescript, c, c++, c#;javascript, typescript, c#,c++;Average;Experienced;Average;0;2560;1440;2560;1440;58d7c2ce-cdc5-40eb-9edc-41274076405f
25574;23;Male;No;0;Yes;Undergraduate Student (Bachelor Studies);Math and Computer Science;6;No;0;9;Weekly;Python, C, Java, Cotlin, OCaml, Swift, Java Script;OCaml, Swift, Python, Java Script;Average;Average;Average;0;2560;1440;2560;1440;4a008c2b-73ad-4ea7-b7e2-52b204df0490
25850;18;Male;No;0;No;Undergraduate Student (Bachelor Studies);Data Science and Artificial Intelligence;1;No;0;1;Weekly;Ocaml C++ ;Ocaml;Inexperienced;Average;Inexperienced;0;2560;1440;2560;1440;33d8c332-6fac-4d00-a318-28ddf15f4dcb
29206;21;Male;Yes, but with glasses/contact lenses I have 100%;0;No;Undergraduate Student (Bachelor Studies);Systems Engineering;5;No;0;3;Daily;Matlab and Python;Matlab and Python;Average;Average;Experienced;0;2560;1440;2560;1440;3ff0e049-f4b9-4f84-9252-0fa6946c7646
31195;23;Male;Yes, but with glasses/contact lenses I have 100%;0;No;Undergraduate Student (Bachelor Studies);Informatik;8;No;0;8;Weekly;Python, Java, Kotlin, C, Javascript;Kotlin, Python;Experienced;Average;Average;0;2560;1440;2560;1440;eab8e2ba-5e21-4a72-8e02-741b64028f19
32074;18;Male;Yes, but with glasses/contact lenses I have 100%;0;No;Undergraduate Student (Bachelor Studies);Computer Science (German);2;No;0;7;Weekly;Python, C, JavaScript, Ocaml;Python, C, JavaScript, Ocaml;Average;Experienced;Very Experienced;0;2560;1440;2560;1440;63677c3e-bcfa-4e8d-ba22-dfd41a4b1129
33035;21;Male;Yes, but with glasses/contact lenses I have 100%;0;Yes;Undergraduate Student (Bachelor Studies);Cybersecurity;4;No;0;3;Monthly;Python, Java;Python, Java;Inexperienced;Average;Inexperienced;0;2560;1440;2560;1440;a81594d4-1b9f-4c55-98ab-8b1b99d7de11
34750;20;Male;Yes, but with glasses/contact lenses I have 100%;0;Yes;Undergraduate Student (Bachelor Studies);Cybersecurity;3;No;0;1;Rarely;Python, Kotlin, Java, C, Assembly;Python, Kotlin;Experienced;Inexperienced;Inexperienced;0;2560;1440;2560;1440;bfc145dd-8433-4e43-9dec-30ef794f1b73
38529;29;Female;Yes, but with glasses/contact lenses I have 100%;0;No;Undergraduate Student (Bachelor Studies);medieninfo;7;No;0;2;Weekly;C, C++, C#, java, python, javascript;python, java, javascript;Inexperienced;Average;Experienced;0;2560;1440;2560;1440;502f3f13-0117-4d94-bec1-2272053cf60f
38995;23;Female;Yes, but with glasses/contact lenses I have 100%;0;Yes;Graduate Student (Master Studies);CS;2;No;0;5;Daily;java, python, c, rust;python;Average;Experienced;Average;0;2560;1440;2560;1440;0833d15e-06b0-44b1-8f93-7f08df85b0e0
40243;24;Male;Yes, but with glasses/contact lenses I have 100%;1;Yes;Graduate Student (Master Studies);cs;9;Yes;0;5;Weekly;Python, Java, C;Python, Java;Experienced;Experienced;Experienced;0;2560;1440;2560;1440;5ca4e6ea-6d8a-4e6f-b779-c52931955ae2
41073;36;Male;No;0;Yes;Undergraduate Student (Bachelor Studies);Cybersecurity;5;No;0;3;Weekly;Python, Java, Kotlin, C;Python, Kotlin, C;Inexperienced;Inexperienced;Average;0;2560;1440;2560;1440;27ef8f7c-88ac-4e91-bafb-bb231363ce10
45126;24;Female;Yes, but with glasses/contact lenses I have 100%;0;Yes;Graduate Student (Master Studies);Computer Science;4;No;0;5;Weekly;Java, Python, Javascript;Python;Experienced;Experienced;Experienced;0;2560;1440;2560;1440;0dd6451f-4676-4ebb-bd2f-195258b99139
46678;24;Male;Yes, but with glasses/contact lenses I have 100%;0;Yes;Graduate Student (Master Studies);Computer Science;5;Yes;0;11;Daily;Python, C, C++, C#, Pascal, Kotlin, Scala, Java;Python, C++;Experienced;Average;Experienced;0;2560;1440;2560;1440;bfae9f90-55ec-4cf3-910d-e5666ed667fe
48060;23;Female;No;0;Yes;Undergraduate Student (Bachelor Studies);Media Informatics;9;No;0;6;Daily;JavaScript,HTML,CSS,Python (most frequent) Java,SQL (some experience);JavaScript;Average;Inexperienced;Average;0;2560;1440;2560;1440;095c9452-3531-44ec-8ddf-5bfa886bada8
52284;28;Male;Yes, but with glasses/contact lenses I have 100%;0;No;Graduate Student (Master Studies);Computer Science;3;Yes;0;9;Daily;python, C, Java, R;python;Experienced;Experienced;Average;0;2560;1440;2560;1440;a419ffe2-189d-40d0-8c4b-2fc3faf775c5
53135;19;Male;No;0;No;Undergraduate Student (Bachelor Studies);Cybersecurity;3;No;0;7;Weekly;Python, C, Java, Kotlin, Ocaml;Python, Kotlin;Experienced;Experienced;Average;0;2560;1440;2560;1440;5650734b-7a86-4ec4-bdc7-b74e953ea4cf
53798;23;Male;Yes, but with glasses/contact lenses I have 100%;0;Yes;Undergraduate Student (Bachelor Studies);Mathematik und Informatik;9;No;0;5;Daily;R, Java, Kotlin, C#, Python;R, Kotlin, C#;Inexperienced;Experienced;Average;0;2560;1440;2560;1440;77c00511-7e42-41aa-ae63-620a6eadec62
54850;22;Male;No;0;No;Undergraduate Student (Bachelor Studies);Medieninformatik;9;No;0;7;Daily;Python, C#, C++, Java, Javascript, Html;Python, C#;Experienced;Experienced;Very Experienced;0;2560;1440;2560;1440;ab5e5846-4fdc-4fed-8d7b-d3f839fedc2e
57736;33;Prefer not to say;No;0;No;Undergraduate Student (Bachelor Studies);Informatics;5;No;0;8;Rarely;C, C++, Java;C, Java, MIBS, pseuCo;Inexperienced;Average;Average;0;2560;1440;0;0;8e8af71d-3c98-4ae1-a509-69a17cf7345d
59585;21;Male;No;0;No;Undergraduate Student (Bachelor Studies);Eingebettete Systeme B.Sc.;7;No;0;8;Weekly;C,C++,Java,PHP,HTML,CSS;C,C++,Scala,Python;Inexperienced;Average;Experienced;0;2560;1440;2560;1440;b02b7162-9a80-42ef-95a5-e129dd405988
60682;22;Male;No;0;Yes;Undergraduate Student (Bachelor Studies);Informatik Kernbereich;6;No;0;6;Daily;Java, Python;Java, Python, Rust, ABAP, SQL;Average;Experienced;Experienced;0;2560;1440;2560;1440;100f6006-48b7-4806-9a95-445514e87be6
62039;22;Male;No;0;No;Undergraduate Student (Bachelor Studies);Computer Science;9;Yes;0;4;Daily;Python, TeX, Java, C++, (C);Python, TeX, ;Experienced;Average;Average;1;2560;1440;2560;1440;32c8cfbd-69ff-4dec-8b87-abc10abf553a
66723;25;Male;Yes, but with glasses/contact lenses I have 100%;0;Yes;Undergraduate Student (Bachelor Studies);Computerlinguistik B.Sc.;4;No;0;1;Rarely;Python;Python;Inexperienced;Inexperienced;Average;0;2560;1440;0;0;3f3cc275-e634-4885-af56-5f430a28d87a
67130;23;Male;No;0;Yes;Undergraduate Student (Bachelor Studies);Cybersecurity;6;Yes;0;2;Monthly;Python, C, Java;Python, C;Average;Average;Average;0;2560;1440;2560;1440;3dc89518-060a-43ed-9353-32f02e456bb6
74390;21;Male;No;0;Yes;Undergraduate Student (Bachelor Studies);cs;2;No;0;3;Monthly;C++, C, Java, PYTHON, REACT CHISEL ASSEMBLY;CC++ JAVA CHISEL ASSEMBLY;Inexperienced;Average;Experienced;0;2560;1440;2560;1440;98d72292-7396-4ecb-b5ba-a647f6eedef4
76211;21;Male;No;0;No;Undergraduate Student (Bachelor Studies);CS;2;No;0;2;Daily;C and python;C and python;Average;Average;Experienced;0;2560;1440;2560;1440;b84d57ba-41b7-4951-878c-f975afcdeb96
93795;26;Male;Yes, but with glasses/contact lenses I have 100%;0;Yes;Graduate Student (Master Studies);Cybersecurity;1;No;0;5;Weekly;C#, Java, Rust, Python, C;C#, Python, C;Average;Experienced;Average;0;2560;1440;2560;1440;efb5c33f-2f4a-410d-8ff1-cab7d1cd4fce
