greatestCommonDivisorLT;What does the programm output if you enter: print(compute(12, 18))?;Select;6;12;18;24
greatestCommonDivisorLN;What does the programm output if you enter: print(compute(12, 18))?;Select;6;12;18;24
leastCommonMultipleMT;What does the programm output if you enter: print(compute(6, 10))?;Select;6;10;30;60
leastCommonMultipleMN;What does the programm output if you enter: print(compute(6, 10))?;Select;6;10;30;60
leastCommonMultipleLT;What does the programm output if you enter: print(compute(6, 10))?;Select;6;10;30;60
leastCommonMultipleLN;What does the programm output if you enter: print(compute(6, 10))?;Select;6;10;30;60
linearSearchMT;What does the programm output if you enter: print(compute([1, 3, 4, 5, 5], 3))?;Select;0;1;2;3
linearSearchMN;What does the programm output if you enter: print(compute([1, 3, 4, 5, 5], 3))?;Select;0;1;2;3
linearSearchLT;What does the programm output if you enter: print(compute([1, 3, 4, 5, 5], 3))?;Select;0;1;2;3
linearSearchLN;What does the programm output if you enter: print(compute([1, 3, 4, 5, 5], 3))?;Select;0;1;2;3
palindromeMT;What does the programm output if you enter: print(compute("racecar"))?;Select;True;False;"racecar";7
palindromeMN;What does the programm output if you enter: print(compute("racecar"))?;Select;True;False;"racecar";7
palindromeLT;What does the programm output if you enter: print(compute("racecar"))?;Select;True;False;"racecar";7
palindromeLN;What does the programm output if you enter: print(compute("racecar"))?;Select;True;False;"racecar";7
powerMT;What does the programm output if you enter: print(compute(2, 3))?;Select;2;3;6;8
powerMN;What does the programm output if you enter: print(compute(2, 3))?;Select;2;3;6;8
powerLT;What does the programm output if you enter: print(compute(2, 3))?;Select;2;3;6;8
powerLN;What does the programm output if you enter: print(compute(2, 3))?;Select;2;3;6;8
primeMT;What does the programm output if you enter: print(compute(13))?;Select;True;False;0;13
primeMN;What does the programm output if you enter: print(compute(13))?;Select;True;False;0;13
primeLT;What does the programm output if you enter: print(compute(13))?;Select;True;False;0;13
primeLN;What does the programm output if you enter: print(compute(13))?;Select;True;False;0;13
squareRootMT;What does the programm output if you enter: print(compute([9, 25, 16, 100))?;Select;92516100;[3.0, 5.0, 4.0, 10.0];[3.0, 4.0, 5.0, 10.0];[81, 625, 256, 10000]
squareRootMN;What does the programm output if you enter: print(compute([9, 25, 16, 100))?;Select;92516100;[3.0, 5.0, 4.0, 10.0];[3.0, 4.0, 5.0, 10.0];[81, 625, 256, 10000]
squareRootLT;What does the programm output if you enter: print(compute([9, 25, 16, 100))?;Select;92516100;[3.0, 5.0, 4.0, 10.0];[3.0, 4.0, 5.0, 10.0];[81, 625, 256, 10000]
squareRootLN;What does the programm output if you enter: print(compute([9, 25, 16, 100))?;Select;92516100;[3.0, 5.0, 4.0, 10.0];[3.0, 4.0, 5.0, 10.0];[81, 625, 256, 10000]
unrolledSortMT;What does the programm output if you enter: print(compute([9, 12, 8, 11]))?;Select;[8, 9, 11, 12];[12, 11, 9, 8];[9, 12, 8, 11];40
unrolledSortMN;What does the programm output if you enter: print(compute([9, 12, 8, 11]))?;Select;[8, 9, 11, 12];[12, 11, 9, 8];[9, 12, 8, 11];40
unrolledSortLT;What does the programm output if you enter: print(compute([9, 12, 8, 11]))?;Select;[8, 9, 11, 12];[12, 11, 9, 8];[9, 12, 8, 11];40
unrolledSortLN;What does the programm output if you enter: print(compute([9, 12, 8, 11]))?;Select;[8, 9, 11, 12];[12, 11, 9, 8];[9, 12, 8, 11];40
validParenthesesMT;What does the programm output if you enter: print(compute("({())}"))?;Select;True;False;"({())}";6
validParenthesesMN;What does the programm output if you enter: print(compute("({())}"))?;Select;True;False;"({())}";6
validParenthesesLT;What does the programm output if you enter: print(compute("({())}"))?;Select;True;False;"({())}";6
validParenthesesLN;What does the programm output if you enter: print(compute("({())}"))?;Select;True;False;"({())}";6
